INFO | 2021-08-31 20:44:30,527 | module: forms | lineno: 14 | Initialised for filter model
INFO | 2021-08-31 20:44:30,527 | module: forms | lineno: 26 | Initialised for serach form model
INFO | 2021-08-31 20:44:31,106 | module: forms | lineno: 14 | Initialised for filter model
INFO | 2021-08-31 20:44:31,106 | module: forms | lineno: 26 | Initialised for serach form model
INFO | 2021-08-31 20:44:39,852 | module: app | lineno: 48 | Twitter account verified...
INFO | 2021-08-31 20:44:39,853 | module: db_utils | lineno: 10 | Initialised insert users in database...
INFO | 2021-08-31 20:44:39,922 | module: app | lineno: 103 | Initialised for pull_tweets_of_user...
INFO | 2021-08-31 20:44:39,922 | module: db_utils | lineno: 22 | Initialised to fetch get_column_for_row from database...
INFO | 2021-08-31 20:44:39,923 | module: db_utils | lineno: 22 | Initialised to fetch get_column_for_row from database...
INFO | 2021-08-31 20:44:39,923 | module: db_utils | lineno: 37 | Initialised to update_last_pulled_time_for_user in database...
INFO | 2021-08-31 20:44:39,997 | module: twitter_utils | lineno: 50 | Initiated for get_timeline_for_user...
INFO | 2021-08-31 20:44:39,997 | module: twitter_utils | lineno: 13 | Initiated for client connection...
INFO | 2021-08-31 20:44:39,997 | module: twitter_utils | lineno: 25 | Initiated for timeline status
INFO | 2021-08-31 20:44:40,471 | module: db_utils | lineno: 49 | Initialised to write_tweets_to_db in database...
INFO | 2021-08-31 20:44:40,471 | module: db_utils | lineno: 22 | Initialised to fetch get_column_for_row from database...
INFO | 2021-08-31 20:44:40,472 | module: db_utils | lineno: 77 | Initialised to update_tweets_pulled_for_user from database...
INFO | 2021-08-31 20:44:40,472 | module: db_utils | lineno: 22 | Initialised to fetch get_column_for_row from database...
INFO | 2021-08-31 20:44:40,474 | module: db_utils | lineno: 93 | Initialised for update_is_completed_status in database...
INFO | 2021-08-31 20:44:40,475 | module: db_utils | lineno: 135 | Initialised to get_tweets_of_user from database...
INFO | 2021-08-31 20:44:40,475 | module: db_utils | lineno: 22 | Initialised to fetch get_column_for_row from database...
INFO | 2021-08-31 20:44:40,477 | module: db_utils | lineno: 22 | Initialised to fetch get_column_for_row from database...
INFO | 2021-08-31 20:44:40,477 | module: db_utils | lineno: 22 | Initialised to fetch get_column_for_row from database...
